Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Total
MUT16,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT19,spec10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT23,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT26,spec11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT27,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT32,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT33,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT36,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT36,spec14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT39,spec14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT40,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT43,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT43,spec18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT44,spec15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT44,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT46,spec15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT46,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT46,spec18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT47,spec16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT47,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT49,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT49,spec18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT50,spec16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT51,spec16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT51,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT56,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT62,spec20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT64,spec20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT21,spec1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT22,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT28,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT34,spec4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT35,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT35,spec14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT41,spec7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT41,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT42,spec18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT48,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT54,spec16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT60,spec16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT61,spec20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,9.0
MUT38V,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT42V,spec17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT44V,spec20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT55V,spec6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT59V,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT67V,spec15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT82V,spec12,No,No,No,No,No,No,No,Yes,No,No,1.0
MUT82V,spec20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT86V,spec13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
