Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT16,spec10,0.042195,0.053562,0.14876,0.040165,0.061646,0.079133,0.021729,0.032566,0.027275,0.110856,0.061788699999999995
MUT19,spec10,0.01849,0.045315,0.049431,0.036542,0.025504,0.16914,0.05467,0.053605,0.03079,0.041157,0.0524644
MUT23,spec12,0.043854,0.061258,0.052578,0.036164,0.029387,0.041756,0.020676,0.021588,0.04131,0.026919,0.037549
MUT26,spec11,0.100139,0.508261,0.755132,0.07551,0.123634,0.164572,0.371206,0.398338,0.16166,0.87561,0.35340619999999995
MUT27,spec12,0.240667,0.628323,0.090584,0.207398,0.409889,0.285601,0.159025,0.399161,0.178261,0.634243,0.3233152
MUT32,spec12,0.068914,0.03733,0.04333,0.044232,0.049202,0.03263,0.032021,0.022462,0.028236,0.033649,0.039200599999999995
MUT33,spec12,0.051315,0.028198,0.075613,0.022227,0.049947,0.018287,0.024895,0.030788,0.053907,0.050916,0.0406093
MUT36,spec13,0.504397,0.403132,0.577267,0.22225,0.510176,0.228492,0.061776,0.17033,0.459517,,180.3137337
MUT36,spec14,2.54287,0.716952,2.055857,1.094059,2.1973,1.159027,0.931155,0.146386,0.765308,,181.1608914
MUT39,spec14,4.732543,2.832282,5.522334,1.040882,3.248742,0.542919,0.745967,0.539613,4.237643,,182.3442925
MUT40,spec13,1.6776,2.714055,2.938732,2.871601,5.796145,2.332348,4.004467,2.001019,5.216331,,182.9552298
MUT43,spec17,3.339864,1.018542,5.553302,1.886977,4.165801,0.29431,0.22508,1.343883,0.595542,,181.8423301
MUT43,spec18,38.97413,29.569436,6.328769,5.03464,35.682816,12.553781,9.570789,11.549567,29.671093,,197.8935021
MUT44,spec15,983.620197,23.068574,48.844309,1733.463983,322.630607,1237.742758,350.780742,836.012293,44.11401,,738.0277473
MUT44,spec17,1.174795,1.439376,14.601768,2.700749,1.94857,2.098314,3.732723,4.990075,3.070399,,183.57567690000002
MUT46,spec15,1.583049,16.072636,0.130096,4.93686,2.576528,1.781872,10.793893,12.508369,6.355435,,185.6738738
MUT46,spec17,17.402781,16.689519,1.303916,11.943139,2.3425,14.663668,6.358986,11.769188,12.744083,,189.52177799999998
MUT46,spec18,1.212157,144.841989,73.257289,35.268895,17.033431,105.138753,226.787595,85.794309,13.080241,,250.2414659
MUT47,spec16,19.095321,11.108143,5.724843,19.714917,7.272888,39.798451,6.461576,29.16241,17.976614,,195.6315163
MUT47,spec17,53.843374,317.443103,168.676759,18.367913,24.284781,148.151545,222.528101,55.88629,26.895877,,283.60777429999996
MUT49,spec17,6.799673,2.723937,2.06013,2.207282,5.14472,1.720185,1.529087,0.252346,0.488712,,182.2926072
MUT49,spec18,7.651361,23.670556,3.056152,7.694003,7.818198,21.052906,57.940106,6.408642,2.758913,,193.8050837
MUT50,spec16,42.927143,4.054539,37.790145,37.459948,5.24341,1.910469,9.137636,12.558306,7.042137,,195.8123733
MUT51,spec16,12.542412,20.686229,6.406572,31.036668,34.385272,4.708298,40.538598,7.863443,12.299907,,197.04673989999998
MUT51,spec17,1.562637,1.180218,2.806134,9.384208,2.905386,4.78684,7.600909,2.52672,0.782905,,183.3535957
MUT56,spec17,8.846113,4.650351,3.520615,0.833256,4.533446,1.436791,1.968633,1.382023,2.779346,,182.9950574
MUT62,spec20,18.242952,25.358369,0.388701,30.136397,41.105794,2.252456,5.007477,10.532466,32.232834,,196.5257446
MUT64,spec20,9.1296,0.588082,9.034917,3.807251,7.818869,7.691101,3.143547,32.400412,22.436598,,189.6050377
MUT21,spec1,0.071259,0.036748,0.059706,0.075306,0.018024,0.039168,0.074467,0.047072,0.047027,0.09885,0.056762699999999985
MUT22,spec12,0.022277,0.026922,0.051091,0.047309,0.041545,0.024859,0.024517,0.050805,0.0293,0.041112,0.0359737
MUT28,spec12,0.048301,0.019264,0.031449,0.054201,0.046081,0.038306,0.019665,0.030534,0.044473,0.019213,0.03514869999999999
MUT34,spec4,0.323974,0.291266,0.273877,0.836852,1.003613,0.386212,0.82163,0.984975,0.275394,,180.5197793
MUT35,spec13,0.261158,0.635417,0.089732,0.14482,0.304913,0.442889,0.289195,0.496973,0.350825,,180.30159220000002
MUT35,spec14,0.295433,0.219438,0.977808,1.192584,0.793976,0.215323,0.990427,1.958166,0.42808,,180.7071235
MUT41,spec7,0.672013,1.23714,2.332898,0.652508,1.62325,2.459053,1.996303,2.667489,0.83646,,181.4477114
MUT41,spec13,0.977267,4.315888,0.744821,2.805817,0.292291,3.422258,1.990602,1.206058,1.949692,,181.7704694
MUT42,spec18,4.701476,1.873819,3.821329,0.732492,0.278341,0.292456,6.585361,0.275327,1.696306,,182.02569069999998
MUT48,spec17,1.870386,0.635402,11.225001,1.262375,1.449609,6.208804,1.22402,1.916098,5.745727,,183.1537422
MUT54,spec16,10.699114,2.94643,1.823014,3.076817,0.979111,2.76987,0.221459,5.740063,1.512688,,182.9768566
MUT60,spec16,13.980276,12.918545,1.263666,16.84146,4.831852,22.422205,0.860567,7.361342,7.335673,,188.78155859999998
MUT61,spec20,3.599949,10.922162,84.787877,85.366835,14.69938,37.47561,3.759056,11.270686,19.964853,,207.18464079999998
MUT38V,spec13,0.49833,0.12294,0.044454,0.676878,0.468531,0.161294,0.588517,0.304149,0.205879,0.864637,0.3935609
MUT42V,spec17,1.652979,2.837924,0.704524,4.143846,2.41723,6.538845,0.450107,0.148577,1.848302,5.531314,2.6273648
MUT44V,spec20,6.776343,20.205293,25.840262,57.250103,11.815195,23.348336,1.81833,26.203723,38.345735,11.383986,22.2987306
MUT55V,spec6,1.753985,7.935125,1.101439,0.817445,2.063905,3.404108,4.375886,2.145052,1.46464,1.850611,2.6912195999999997
MUT59V,spec13,12.196224,1.627703,1.541296,1.117072,3.638974,9.323361,3.409207,8.157512,0.901637,0.91562,4.282860600000001
MUT67V,spec15,32.770256,20.808537,6.097557,68.303126,28.174559,8.257091,1.100184,3.451584,34.902915,3.460092,20.732590100000003
MUT82V,spec12,,,,,,,,1694.913108,,,1789.4913108
MUT82V,spec20,313.831883,132.605819,24.680015,400.016773,189.991637,148.914557,401.60544,1.261465,74.135761,226.652401,191.36957510000002
MUT86V,spec13,68.887002,135.915196,319.811574,32.335538,71.887884,100.69369,192.547942,313.849437,79.298161,529.838638,184.5065062
