Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT10,spec6,0.173044,0.751826,0.57047,0.370763,1.24924,0.485225,1.069499,0.510115,1.349849,0.189201,0.6719231999999999
MUT11,spec6,0.019189,0.018391,0.019742,0.041154,0.024485,0.024151,0.024819,0.029109,0.023468,0.020753,0.024526100000000002
MUT12,spec5,0.04549,0.19344,0.226814,0.04822,0.129659,0.15281,0.160084,0.290401,0.055596,0.250982,0.1553496
MUT13,spec5,0.234361,0.264051,0.056007,0.092102,0.083671,0.303687,0.343257,0.065174,0.127014,0.341211,0.1910535
MUT13,spec6,0.02805,0.022134,0.030872,0.031791,0.049981,0.0215,0.035244,0.036816,0.036172,0.029867,0.0322427
MUT58,spec2,0.053439,0.029911,0.133083,0.050062,0.031272,0.026619,0.030745,0.055901,0.023265,0.082181,0.0516478
MUT59,spec2,0.048665,0.052699,0.04084,0.030815,0.027039,0.039787,0.069162,0.114729,0.026783,0.051767,0.0502286
MUT59,spec6,,,,,,,,,,,1800
MUT60,spec6,0.028803,0.272364,0.281907,0.307682,0.41641,0.139793,0.177132,0.451681,0.489101,0.297328,0.28622010000000003
MUT61,spec6,0.038886,0.031885,0.02958,0.034128,0.029799,0.050176,0.026194,0.034786,0.032935,0.033138,0.03415069999999999
MUT80,spec3,0.111946,0.031377,0.044607,0.039849,0.06364,0.131208,0.041041,0.07595,0.022091,0.026871,0.05885799999999999
MUT84,spec4,0.026284,0.031341,0.021858,0.024036,0.026069,0.031161,0.051577,0.04826,0.049268,0.030149,0.0340003
MUT93,spec3,0.044016,0.056987,0.036319,0.039464,0.047593,0.02638,0.073816,0.121471,0.077142,0.023518,0.0546706
MUT94,spec3,0.066345,0.03178,0.052656,0.044719,0.046467,0.050817,0.032376,0.034344,0.034666,0.032022,0.0426192
MUT79,spec4,0.034777,0.036162,0.047364,0.038056,0.031785,0.036604,0.043362,0.043173,0.046418,0.023653,0.0381354
MUT92,spec3,0.037776,0.027076,0.036262,0.03171,0.069623,0.027915,0.02484,0.032149,0.031934,0.040876,0.0360161
MUT18V,spec3,0.155512,0.058593,0.023417,0.02654,0.059811,0.153708,0.071395,0.225105,0.033445,0.026476,0.0834002
MUT18V,spec4,0.006676,0.006126,0.011985,0.00753,0.003937,0.007333,0.010705,0.008011,0.005215,0.009007,0.007652500000000001
MUT92V,spec6,0.024079,0.023897,0.02319,0.021376,0.034146,0.051797,0.02467,0.020023,0.023474,0.023305,0.026995700000000004
MUT109V,spec4,0.009363,0.011573,0.007773,0.009277,0.010188,0.007615,0.009838,0.009813,0.012639,0.010431,0.009850999999999999
MUT116V,spec6,0.013765,0.007548,0.010477,0.008085,0.008835,0.009811,0.009897,0.008558,0.017171,0.024945,0.0119092
MUT121V,spec3,0.066206,0.029592,0.054131,0.024776,0.037924,0.03295,0.036019,0.023848,0.047238,0.031142,0.038382599999999996
MUT123V,spec2,0.008882,0.012436,0.012691,0.006351,0.006685,0.007031,0.006225,0.013127,0.011245,0.015495,0.010016800000000001
MUT124V,spec3,0.039214,0.026921,0.023856,0.02191,0.02683,0.038367,0.031296,0.046121,0.034532,0.03027,0.0319317
MUT127V,spec3,0.026049,0.042003,0.02909,0.026319,0.029863,0.052753,0.036794,0.040026,0.033261,0.027263,0.0343421
MUT127V,spec4,0.010499,0.004539,0.015158,0.009296,0.006395,0.009344,0.007759,0.010096,0.01268,0.010718,0.009648399999999998
MUT132V,spec6,0.006353,0.008282,0.012729,0.007182,0.007929,0.008765,0.011203,0.007972,0.009327,0.006095,0.008583700000000001
MUT134V,spec2,0.006345,0.006225,0.011531,0.00925,0.007088,0.009329,0.006631,0.007119,0.01075,0.007885,0.008215299999999998
MUT134V,spec6,0.0075,0.006357,0.007953,0.006082,0.011659,0.007601,0.008641,0.008453,0.006591,0.01069,0.0081527
MUT137V,spec6,0.431903,0.52972,0.398943,1.626811,0.166834,0.458553,0.085807,0.719352,0.12659,0.802051,0.5346564
MUT163V,spec6,0.007905,0.004467,0.007035,0.012916,0.007171,0.008341,0.004764,0.011882,0.015377,0.003607,0.0083465
MUT164V,spec6,0.006005,0.008649,0.005415,0.007731,0.009017,0.006017,0.005174,0.005714,0.006734,0.009746,0.007020200000000002
MUT170V,spec4,0.009956,0.011538,0.013096,0.017985,0.014244,0.012622,0.007012,0.009951,0.011804,0.011871,0.012007899999999998
MUT186V,spec4,0.01122,0.011203,0.011686,0.016308,0.006649,0.010487,0.010859,0.007755,0.012568,0.008848,0.0107583
MUT186V,spec5,0.032439,0.033121,0.040073,0.02983,0.047795,0.037379,0.0302,0.024348,0.057491,0.033799,0.0366475
MUT188V,spec5,0.029802,0.028888,0.021835,0.039265,0.027086,0.036527,0.029405,0.041971,0.028967,0.028469,0.031221500000000003
MUT189V,spec5,0.025713,0.035479,0.027615,0.029197,0.02568,0.029104,0.030281,0.033752,0.027712,0.026256,0.0290789
MUT191V,spec4,0.008996,0.006523,0.010188,0.008001,0.007591,0.010487,0.009396,0.007513,0.010349,0.005399,0.0084443
MUT191V,spec5,0.033209,0.024314,0.030248,0.030098,0.030856,0.025342,0.031063,0.026792,0.029079,0.030758,0.029175900000000005
MUT192V,spec5,0.025239,0.030435,0.028874,0.035691,0.025959,0.030895,0.023251,0.040201,0.07504,0.038639,0.0354224
MUT193V,spec4,0.017266,0.010935,0.010289,0.009603,0.016262,0.012474,0.013172,0.007634,0.009179,0.013615,0.012042899999999999
MUT194V,spec3,1.926298,1.382352,0.03168,4.904196,9.09405,0.941612,1.10915,0.494309,5.818583,2.345586,2.8047816
MUT194V,spec5,0.026853,0.022989,0.031248,0.039572,0.035376,0.049483,0.032657,0.032487,0.023481,0.030301,0.0324447
MUT195V,spec3,1.509371,0.174516,2.701208,0.810716,8.045686,8.415062,0.808788,3.501264,0.081873,1.510901,2.7559385
MUT196V,spec4,0.009824,0.00852,0.00741,0.008097,0.005595,0.009045,0.011838,0.007037,0.009509,0.01075,0.0087625
MUT200V,spec4,0.010018,0.009841,0.00948,0.01158,0.017045,0.010626,0.008004,0.007643,0.010243,0.011206,0.010568600000000001
MUT218V,spec3,0.041766,0.041107,0.024894,0.040561,0.048649,0.039321,0.028409,0.023748,0.03191,0.049366,0.0369731
MUT223V,spec3,0.038011,0.025244,0.045438,0.059716,0.028922,0.040185,0.10055,0.030218,0.046803,0.039549,0.0454636
MUT225V,spec3,0.028218,0.049479,0.050857,0.048017,0.024486,0.036342,0.036159,0.033865,0.023243,0.040189,0.03708550000000001
MUT234V,spec5,0.070702,0.076879,0.064459,0.181021,0.054779,0.076903,0.076565,0.200632,0.049328,0.05578,0.0907048
