,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT1.c,SSDL,60,3,93,4,switch (rtDW.is_Alarm) {,60,3,60,4,;,,Alarm
model.MUT2.c,SSDL,63,5,66,6,if (rtU.Alarm_active) {,63,5,63,6,;,,Alarm
model.MUT3.c,SSDL,63,27,66,6,{,63,27,63,28,{,,Alarm
model.MUT4.c,SSDL,67,5,67,11,break;,67,5,67,6,;,,Alarm
model.MUT5.c,SSDL,71,5,91,6,if (!rtU.Alarm_active) {,71,5,71,6,;,,Alarm
model.MUT6.c,SSDL,71,28,74,6,{,71,28,71,29,{,,Alarm
model.MUT7.c,SSDL,75,7,90,8,switch (rtDW.is_On) {,75,7,75,8,;,,Alarm
model.MUT8.c,SSDL,77,9,81,10,if (*sfEvent == (0)) {,77,9,77,10,;,,Alarm
model.MUT9.c,ORRN,77,22,77,24,==,77,22,77,24,!=,==!=,Alarm
model.MUT10.c,ORRN,77,22,77,24,==,77,22,77,23,<,==<,Alarm
model.MUT11.c,ORRN,77,22,77,24,==,77,22,77,24,<=,==<=,Alarm
model.MUT12.c,ORRN,77,22,77,24,==,77,22,77,23,>,==>,Alarm
model.MUT13.c,ORRN,77,22,77,24,==,77,22,77,24,>=,==>=,Alarm
model.MUT14.c,SSDL,77,38,81,10,{,77,38,77,39,{,,Alarm
model.MUT15.c,SSDL,79,11,79,40,rtDW.temporalCounter_i2 = 0U,79,11,79,12,;,,Alarm
model.MUT16.c,SSDL,80,11,80,36,rtDW.SoundEventCounter++,80,11,80,12,;,,Alarm
model.MUT17.c,SSDL,82,9,82,15,break;,82,9,82,10,;,,Alarm
model.MUT18.c,SSDL,85,9,88,10,if ((*sfEvent == (1)) && (rtDW.temporalCounter_i2 >= 80U)) {,85,9,85,10,;,,Alarm
model.MUT19.c,ORRN,85,23,85,25,==,85,23,85,25,!=,==!=,Alarm
model.MUT20.c,ORRN,85,23,85,25,==,85,23,85,24,<,==<,Alarm
model.MUT21.c,ORRN,85,23,85,25,==,85,23,85,25,<=,==<=,Alarm
model.MUT22.c,ORRN,85,23,85,25,==,85,23,85,24,>,==>,Alarm
model.MUT23.c,ORRN,85,23,85,25,==,85,23,85,25,>=,==>=,Alarm
model.MUT24.c,OLLN,85,41,85,43,&&,85,41,85,43,||,&&||,Alarm
model.MUT25.c,ORRN,85,69,85,71,>=,85,69,85,71,!=,>=!=,Alarm
model.MUT26.c,ORRN,85,69,85,71,>=,85,69,85,70,<,>=<,Alarm
model.MUT27.c,ORRN,85,69,85,71,>=,85,69,85,71,<=,>=<=,Alarm
model.MUT28.c,ORRN,85,69,85,71,>=,85,69,85,71,==,>===,Alarm
model.MUT29.c,ORRN,85,69,85,71,>=,85,69,85,70,>,>=>,Alarm
model.MUT30.c,SSDL,85,78,88,10,{,85,78,85,79,{,,Alarm
model.MUT31.c,SSDL,86,11,86,42,rtDW.call_policeEventCounter++,86,11,86,12,;,,Alarm
model.MUT32.c,SSDL,89,9,89,15,break;,89,9,89,10,;,,Alarm
model.MUT33.c,SSDL,92,5,92,11,break;,92,5,92,6,;,,Alarm
model.MUT34.c,SSDL,106,3,111,91,printf("%s %s %s %s %s %s %d %s %s %s %d %d %d %d %d ",106,3,106,4,;,,model_step
model.MUT35.c,SSDL,128,3,130,4,if (rtDW.temporalCounter_i1 < ((uint32_T)(4294967295U))) {,128,3,128,4,;,,model_step
model.MUT36.c,ORRN,128,31,128,32,<,128,31,128,33,!=,<!=,model_step
model.MUT37.c,ORRN,128,31,128,32,<,128,31,128,33,<=,<<=,model_step
model.MUT38.c,ORRN,128,31,128,32,<,128,31,128,33,==,<==,model_step
model.MUT39.c,ORRN,128,31,128,32,<,128,31,128,32,>,<>,model_step
model.MUT40.c,ORRN,128,31,128,32,<,128,31,128,33,>=,<>=,model_step
model.MUT41.c,SSDL,129,5,129,31,rtDW.temporalCounter_i1++,129,5,129,6,;,,model_step
model.MUT42.c,SSDL,132,3,134,4,if (rtDW.temporalCounter_i2 < ((uint32_T)(4294967295U))) {,132,3,132,4,;,,model_step
model.MUT43.c,ORRN,132,31,132,32,<,132,31,132,33,!=,<!=,model_step
model.MUT44.c,ORRN,132,31,132,32,<,132,31,132,33,<=,<<=,model_step
model.MUT45.c,ORRN,132,31,132,32,<,132,31,132,33,==,<==,model_step
model.MUT46.c,ORRN,132,31,132,32,<,132,31,132,32,>,<>,model_step
model.MUT47.c,ORRN,132,31,132,32,<,132,31,132,33,>=,<>=,model_step
model.MUT48.c,SSDL,133,5,133,31,rtDW.temporalCounter_i2++,133,5,133,6,;,,model_step
model.MUT49.c,SSDL,137,3,263,4,if (rtDW.is_active_c1_model == 0U) {,137,3,137,4,;,,model_step
model.MUT50.c,ORRN,137,31,137,33,==,137,31,137,33,!=,==!=,model_step
model.MUT51.c,ORRN,137,31,137,33,==,137,31,137,32,<,==<,model_step
model.MUT52.c,ORRN,137,31,137,33,==,137,31,137,33,<=,==<=,model_step
model.MUT53.c,ORRN,137,31,137,33,==,137,31,137,32,>,==>,model_step
model.MUT54.c,ORRN,137,31,137,33,==,137,31,137,33,>=,==>=,model_step
model.MUT55.c,SSDL,137,38,157,4,{,137,38,137,39,{,,model_step
model.MUT56.c,SSDL,138,5,138,34,rtDW.is_active_c1_model = 1U,138,5,138,6,;,,model_step
model.MUT57.c,SSDL,139,5,139,30,rtDW.is_active_Door = 1U,139,5,139,6,;,,model_step
model.MUT58.c,SSDL,143,5,143,32,rtDW.is_active_Motion = 1U,143,5,143,6,;,,model_step
model.MUT59.c,SSDL,148,5,148,29,rtDW.is_active_Win = 1U,148,5,148,6,;,,model_step
model.MUT60.c,SSDL,152,5,152,31,rtDW.is_active_Alarm = 1U,152,5,152,6,;,,model_step
model.MUT61.c,SSDL,157,10,263,4,{,157,10,157,11,{,,model_step
model.MUT62.c,SSDL,158,5,183,6,if (rtDW.is_active_Door != 0U) {,158,5,158,6,;,,model_step
model.MUT63.c,ORRN,158,29,158,31,!=,158,29,158,30,<,!=<,model_step
model.MUT64.c,ORRN,158,29,158,31,!=,158,29,158,31,<=,!=<=,model_step
model.MUT65.c,ORRN,158,29,158,31,!=,158,29,158,31,==,!===,model_step
model.MUT66.c,ORRN,158,29,158,31,!=,158,29,158,30,>,!=>,model_step
model.MUT67.c,ORRN,158,29,158,31,!=,158,29,158,31,>=,!=>=,model_step
