Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT63,spec12,0.032362,0.138816,0.036045,0.048614,0.06335,0.074436,0.035912,0.034329,0.118934,0.077922,0.066072
MUT10,spec14,0.005702,0.00233,0.005734,0.003021,0.00527,0.003242,0.001942,0.004067,0.006929,0.003839,0.004207600000000001
MUT42,spec14,0.005122,0.003246,0.01072,0.007165,0.004363,0.011196,0.005442,0.007138,0.004928,0.008234,0.0067554
MUT53,spec11,0.002705,0.002558,0.007416,0.008125,0.00596,0.004899,0.005684,0.001987,0.01086,0.012157,0.0062351
MUT59,spec12,0.040499,0.022531,0.029368,0.021126,0.025923,0.025215,0.026528,0.057931,0.018625,0.085695,0.0353441
MUT60,spec12,0.035696,0.0158,0.041013,0.032845,0.017518,0.021191,0.048555,0.027417,0.034986,0.019102,0.029412300000000002
MUT61,spec12,0.013328,0.027252,0.033127,0.032886,0.04449,0.031096,0.023381,0.028528,0.036011,0.019917,0.0290016
MUT78,spec13,0.002819,0.00686,0.004252,0.010183,0.0065,0.008658,0.006618,0.008903,0.003977,0.005318,0.006408799999999999
MUT15,spec14,0.009626,0.004321,0.004982,0.006928,0.00311,0.002672,-0.000452,0.008874,0.010734,0.001422,0.0052217
MUT19,spec11,0.006024,0.001036,0.003574,0.002666,0.00297,0.001928,0.002379,0.006497,0.005129,0.008458,0.0040661
MUT44,spec11,0.004295,0.004376,0.003934,0.004309,0.003072,0.006655,0.006138,0.005402,0.006712,0.007437,0.005233
MUT57,spec12,0.020985,0.02506,0.016904,0.023163,0.027965,0.02314,0.019187,0.020858,0.024444,0.026459,0.022816500000000003
MUT79,spec13,0.001835,0.009538,0.005011,0.007368,0.005988,0.00316,0.007323,0.004463,0.004669,0.006904,0.0056259
MUT22V,spec1,,,,,,,,,,,1800
MUT22V,spec3,,,,,,,,,,,1800
MUT25V,spec14,0.006564,0.011756,0.014078,0.010284,0.008509,0.004706,0.006063,0.004809,0.002666,0.008261,0.0077696
