,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT1.c,SSDL,50,3,51,12,printf("%s %d\n",50,3,50,4,;,,model_step
model.MUT2.c,SSDL,61,3,61,20,rtY.state1 = 0.,61,3,61,4,;,,model_step
model.MUT3.c,SSDL,66,3,100,4,switch (rtDW.is_c1_model) {,66,3,66,4,;,,model_step
model.MUT4.c,SSDL,69,5,69,22,rtY.state1 = 0.,69,5,69,6,;,,model_step
model.MUT5.c,SSDL,73,5,73,11,break;,73,5,73,6,;,,model_step
model.MUT6.c,SSDL,77,5,77,22,rtY.state1 = 1.,77,5,77,6,;,,model_step
model.MUT7.c,SSDL,81,5,81,11,break;,81,5,81,6,;,,model_step
model.MUT8.c,SSDL,85,5,85,22,rtY.state1 = 2.,85,5,85,6,;,,model_step
model.MUT9.c,SSDL,86,5,86,11,break;,86,5,86,6,;,,model_step
model.MUT10.c,SSDL,90,5,90,22,rtY.state1 = 3.,90,5,90,6,;,,model_step
model.MUT11.c,SSDL,91,5,91,11,break;,91,5,91,6,;,,model_step
model.MUT12.c,SSDL,95,5,95,22,rtY.state1 = 4.,95,5,95,6,;,,model_step
model.MUT13.c,SSDL,99,5,99,11,break;,99,5,99,6,;,,model_step
model.MUT14.c,SSDL,102,3,146,4,switch (rtDW.is_c1_model) {,102,3,102,4,;,,model_step
model.MUT15.c,SSDL,104,5,106,6,if (rtU.u == 1) {,104,5,104,6,;,,model_step
model.MUT16.c,ORRN,104,15,104,17,==,104,15,104,17,!=,==!=,model_step
model.MUT17.c,ORRN,104,15,104,17,==,104,15,104,16,<,==<,model_step
model.MUT18.c,ORRN,104,15,104,17,==,104,15,104,17,<=,==<=,model_step
model.MUT19.c,ORRN,104,15,104,17,==,104,15,104,16,>,==>,model_step
model.MUT20.c,ORRN,104,15,104,17,==,104,15,104,17,>=,==>=,model_step
model.MUT21.c,SSDL,107,5,107,11,break;,107,5,107,6,;,,model_step
model.MUT22.c,SSDL,110,5,116,6,if (rtU.u == 2) {,110,5,110,6,;,,model_step
model.MUT23.c,ORRN,110,15,110,17,==,110,15,110,17,!=,==!=,model_step
model.MUT24.c,ORRN,110,15,110,17,==,110,15,110,16,<,==<,model_step
model.MUT25.c,ORRN,110,15,110,17,==,110,15,110,17,<=,==<=,model_step
model.MUT26.c,ORRN,110,15,110,17,==,110,15,110,16,>,==>,model_step
model.MUT27.c,ORRN,110,15,110,17,==,110,15,110,17,>=,==>=,model_step
model.MUT28.c,SSDL,113,7,115,8,if (rtU.u != 1) {,113,7,113,8,;,,model_step
model.MUT29.c,ORRN,113,17,113,19,!=,113,17,113,18,<,!=<,model_step
model.MUT30.c,ORRN,113,17,113,19,!=,113,17,113,19,<=,!=<=,model_step
model.MUT31.c,ORRN,113,17,113,19,!=,113,17,113,19,==,!===,model_step
model.MUT32.c,ORRN,113,17,113,19,!=,113,17,113,18,>,!=>,model_step
model.MUT33.c,ORRN,113,17,113,19,!=,113,17,113,19,>=,!=>=,model_step
model.MUT34.c,SSDL,117,5,117,11,break;,117,5,117,6,;,,model_step
model.MUT35.c,SSDL,120,5,124,6,if (rtU.u == 1) {,120,5,120,6,;,,model_step
model.MUT36.c,ORRN,120,15,120,17,==,120,15,120,17,!=,==!=,model_step
model.MUT37.c,ORRN,120,15,120,17,==,120,15,120,16,<,==<,model_step
model.MUT38.c,ORRN,120,15,120,17,==,120,15,120,17,<=,==<=,model_step
model.MUT39.c,ORRN,120,15,120,17,==,120,15,120,16,>,==>,model_step
model.MUT40.c,ORRN,120,15,120,17,==,120,15,120,17,>=,==>=,model_step
model.MUT41.c,SSDL,125,5,125,11,break;,125,5,125,6,;,,model_step
model.MUT42.c,SSDL,128,5,136,6,if (rtU.u == 1) {,128,5,128,6,;,,model_step
model.MUT43.c,ORRN,128,15,128,17,==,128,15,128,17,!=,==!=,model_step
model.MUT44.c,ORRN,128,15,128,17,==,128,15,128,16,<,==<,model_step
model.MUT45.c,ORRN,128,15,128,17,==,128,15,128,17,<=,==<=,model_step
model.MUT46.c,ORRN,128,15,128,17,==,128,15,128,16,>,==>,model_step
model.MUT47.c,ORRN,128,15,128,17,==,128,15,128,17,>=,==>=,model_step
model.MUT48.c,SSDL,130,12,136,6,if (rtU.u == 3) {,130,12,130,13,;,,model_step
model.MUT49.c,ORRN,130,22,130,24,==,130,22,130,24,!=,==!=,model_step
model.MUT50.c,ORRN,130,22,130,24,==,130,22,130,23,<,==<,model_step
model.MUT51.c,ORRN,130,22,130,24,==,130,22,130,24,<=,==<=,model_step
model.MUT52.c,ORRN,130,22,130,24,==,130,22,130,23,>,==>,model_step
model.MUT53.c,ORRN,130,22,130,24,==,130,22,130,24,>=,==>=,model_step
model.MUT54.c,SSDL,132,12,136,6,if (rtU.u == 2) {,132,12,132,13,;,,model_step
model.MUT55.c,ORRN,132,22,132,24,==,132,22,132,24,!=,==!=,model_step
model.MUT56.c,ORRN,132,22,132,24,==,132,22,132,23,<,==<,model_step
model.MUT57.c,ORRN,132,22,132,24,==,132,22,132,24,<=,==<=,model_step
model.MUT58.c,ORRN,132,22,132,24,==,132,22,132,23,>,==>,model_step
