,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT59.c,ORRN,132,22,132,24,==,132,22,132,24,>=,==>=,model_step
model.MUT60.c,SSDL,137,5,137,11,break;,137,5,137,6,;,,model_step
model.MUT61.c,SSDL,140,5,144,6,if (rtU.u == 1) {,140,5,140,6,;,,model_step
model.MUT62.c,ORRN,140,15,140,17,==,140,15,140,17,!=,==!=,model_step
model.MUT63.c,ORRN,140,15,140,17,==,140,15,140,16,<,==<,model_step
model.MUT64.c,ORRN,140,15,140,17,==,140,15,140,17,<=,==<=,model_step
model.MUT65.c,ORRN,140,15,140,17,==,140,15,140,16,>,==>,model_step
model.MUT66.c,ORRN,140,15,140,17,==,140,15,140,17,>=,==>=,model_step
model.MUT67.c,SSDL,145,5,145,11,break;,145,5,145,6,;,,model_step
model.MUT68.c,SSDL,156,3,156,20,rtY.state2 = 0.,156,3,156,4,;,,model_step
model.MUT69.c,SSDL,161,3,236,4,switch (rtDW.is_c2_model) {,161,3,161,4,;,,model_step
model.MUT70.c,SSDL,163,5,167,6,if (rtU.u == 1) {,163,5,163,6,;,,model_step
model.MUT71.c,ORRN,163,15,163,17,==,163,15,163,17,!=,==!=,model_step
model.MUT72.c,ORRN,163,15,163,17,==,163,15,163,16,<,==<,model_step
model.MUT73.c,ORRN,163,15,163,17,==,163,15,163,17,<=,==<=,model_step
model.MUT74.c,ORRN,163,15,163,17,==,163,15,163,16,>,==>,model_step
model.MUT75.c,ORRN,163,15,163,17,==,163,15,163,17,>=,==>=,model_step
model.MUT76.c,SSDL,163,21,167,6,{,163,21,163,22,{,,model_step
model.MUT77.c,SSDL,165,7,165,24,rtY.state2 = 1.,165,7,165,8,;,,model_step
model.MUT78.c,SSDL,168,5,168,11,break;,168,5,168,6,;,,model_step
model.MUT79.c,SSDL,171,5,181,6,if (rtU.u == 2) {,171,5,171,6,;,,model_step
model.MUT80.c,ORRN,171,15,171,17,==,171,15,171,17,!=,==!=,model_step
model.MUT81.c,ORRN,171,15,171,17,==,171,15,171,16,<,==<,model_step
model.MUT82.c,ORRN,171,15,171,17,==,171,15,171,17,<=,==<=,model_step
model.MUT83.c,ORRN,171,15,171,17,==,171,15,171,16,>,==>,model_step
model.MUT84.c,ORRN,171,15,171,17,==,171,15,171,17,>=,==>=,model_step
model.MUT85.c,SSDL,171,21,175,6,{,171,21,171,22,{,,model_step
model.MUT86.c,SSDL,173,7,173,24,rtY.state2 = 2.,173,7,173,8,;,,model_step
model.MUT87.c,SSDL,176,7,180,8,if (rtU.u != 1) {,176,7,176,8,;,,model_step
model.MUT88.c,ORRN,176,17,176,19,!=,176,17,176,18,<,!=<,model_step
model.MUT89.c,ORRN,176,17,176,19,!=,176,17,176,19,<=,!=<=,model_step
model.MUT90.c,ORRN,176,17,176,19,!=,176,17,176,19,==,!===,model_step
model.MUT91.c,ORRN,176,17,176,19,!=,176,17,176,18,>,!=>,model_step
model.MUT92.c,ORRN,176,17,176,19,!=,176,17,176,19,>=,!=>=,model_step
model.MUT93.c,SSDL,176,23,180,8,{,176,23,176,24,{,,model_step
model.MUT94.c,SSDL,178,9,178,26,rtY.state2 = 0.,178,9,178,10,;,,model_step
model.MUT95.c,SSDL,182,5,182,11,break;,182,5,182,6,;,,model_step
model.MUT96.c,SSDL,185,5,193,6,if (rtU.u == 1) {,185,5,185,6,;,,model_step
model.MUT97.c,ORRN,185,15,185,17,==,185,15,185,17,!=,==!=,model_step
model.MUT98.c,ORRN,185,15,185,17,==,185,15,185,16,<,==<,model_step
model.MUT99.c,ORRN,185,15,185,17,==,185,15,185,17,<=,==<=,model_step
model.MUT100.c,ORRN,185,15,185,17,==,185,15,185,16,>,==>,model_step
model.MUT101.c,ORRN,185,15,185,17,==,185,15,185,17,>=,==>=,model_step
model.MUT102.c,SSDL,185,21,189,6,{,185,21,185,22,{,,model_step
model.MUT103.c,SSDL,187,7,187,24,rtY.state2 = 3.,187,7,187,8,;,,model_step
model.MUT104.c,SSDL,189,12,193,6,{,189,12,189,13,{,,model_step
model.MUT105.c,SSDL,191,7,191,24,rtY.state2 = 0.,191,7,191,8,;,,model_step
model.MUT106.c,SSDL,194,5,194,11,break;,194,5,194,6,;,,model_step
model.MUT107.c,SSDL,197,5,216,6,if (rtU.u == 1) {,197,5,197,6,;,,model_step
model.MUT108.c,ORRN,197,15,197,17,==,197,15,197,17,!=,==!=,model_step
model.MUT109.c,ORRN,197,15,197,17,==,197,15,197,16,<,==<,model_step
model.MUT110.c,ORRN,197,15,197,17,==,197,15,197,17,<=,==<=,model_step
model.MUT111.c,ORRN,197,15,197,17,==,197,15,197,16,>,==>,model_step
model.MUT112.c,ORRN,197,15,197,17,==,197,15,197,17,>=,==>=,model_step
model.MUT113.c,SSDL,197,21,201,6,{,197,21,197,22,{,,model_step
model.MUT114.c,SSDL,199,7,199,24,rtY.state2 = 1.,199,7,199,8,;,,model_step
model.MUT115.c,SSDL,201,12,216,6,if (rtU.u == 3) {,201,12,201,13,;,,model_step
model.MUT116.c,ORRN,201,22,201,24,==,201,22,201,24,!=,==!=,model_step
model.MUT117.c,ORRN,201,22,201,24,==,201,22,201,23,<,==<,model_step
model.MUT118.c,ORRN,201,22,201,24,==,201,22,201,24,<=,==<=,model_step
model.MUT119.c,ORRN,201,22,201,24,==,201,22,201,23,>,==>,model_step
model.MUT120.c,ORRN,201,22,201,24,==,201,22,201,24,>=,==>=,model_step
model.MUT121.c,SSDL,201,28,208,6,{,201,28,201,29,{,,model_step
model.MUT122.c,SSDL,203,7,203,24,rtY.state2 = 4.,203,7,203,8,;,,model_step
model.MUT123.c,SSDL,208,12,216,6,if (rtU.u == 2) {,208,12,208,13,;,,model_step
model.MUT124.c,ORRN,208,22,208,24,==,208,22,208,24,!=,==!=,model_step
model.MUT125.c,ORRN,208,22,208,24,==,208,22,208,23,<,==<,model_step
model.MUT126.c,ORRN,208,22,208,24,==,208,22,208,24,<=,==<=,model_step
model.MUT127.c,ORRN,208,22,208,24,==,208,22,208,23,>,==>,model_step
model.MUT128.c,ORRN,208,22,208,24,==,208,22,208,24,>=,==>=,model_step
model.MUT129.c,SSDL,208,28,212,6,{,208,28,208,29,{,,model_step
model.MUT130.c,SSDL,210,7,210,24,rtY.state2 = 2.,210,7,210,8,;,,model_step
model.MUT131.c,SSDL,212,12,216,6,{,212,12,212,13,{,,model_step
model.MUT132.c,SSDL,214,7,214,24,rtY.state2 = 0.,214,7,214,8,;,,model_step
model.MUT133.c,SSDL,217,5,217,11,break;,217,5,217,6,;,,model_step
model.MUT134.c,SSDL,220,5,234,6,if (rtU.u == 1) {,220,5,220,6,;,,model_step
model.MUT135.c,ORRN,220,15,220,17,==,220,15,220,17,!=,==!=,model_step
model.MUT136.c,ORRN,220,15,220,17,==,220,15,220,16,<,==<,model_step
model.MUT137.c,ORRN,220,15,220,17,==,220,15,220,17,<=,==<=,model_step
model.MUT138.c,ORRN,220,15,220,17,==,220,15,220,16,>,==>,model_step
model.MUT139.c,ORRN,220,15,220,17,==,220,15,220,17,>=,==>=,model_step
model.MUT140.c,SSDL,220,21,227,6,{,220,21,220,22,{,,model_step
model.MUT141.c,SSDL,222,7,222,24,rtY.state2 = 1.,222,7,222,8,;,,model_step
model.MUT142.c,SSDL,227,12,234,6,{,227,12,227,13,{,,model_step
model.MUT143.c,SSDL,229,7,229,24,rtY.state2 = 0.,229,7,229,8,;,,model_step
model.MUT144.c,SSDL,235,5,235,11,break;,235,5,235,6,;,,model_step
model.MUT1V.c,VSCR,50,36,50,47,is_c1_model,50,36,50,47,is_c2_model,,model_step
model.MUT2V.c,VSCR,56,7,56,16,seqFound1,56,7,56,16,seqFound2,,model_step
model.MUT3V.c,VSCR,56,7,56,16,seqFound1,56,7,56,13,state1,,model_step
model.MUT4V.c,VSCR,56,7,56,16,seqFound1,56,7,56,13,state2,,model_step
model.MUT5V.c,VSCR,61,7,61,13,state1,61,7,61,16,seqFound1,,model_step
model.MUT6V.c,VSCR,61,7,61,13,state1,61,7,61,16,seqFound2,,model_step
model.MUT7V.c,VSCR,61,7,61,13,state1,61,7,61,13,state2,,model_step
model.MUT8V.c,VSCR,66,16,66,27,is_c1_model,66,16,66,27,is_c2_model,,model_step
model.MUT9V.c,VSCR,69,9,69,15,state1,69,9,69,18,seqFound1,,model_step
model.MUT10V.c,VSCR,69,9,69,15,state1,69,9,69,18,seqFound2,,model_step
model.MUT11V.c,VSCR,69,9,69,15,state1,69,9,69,15,state2,,model_step
model.MUT12V.c,VSCR,72,9,72,18,seqFound1,72,9,72,18,seqFound2,,model_step
model.MUT13V.c,VSCR,72,9,72,18,seqFound1,72,9,72,15,state1,,model_step
model.MUT14V.c,VSCR,72,9,72,18,seqFound1,72,9,72,15,state2,,model_step
model.MUT15V.c,VSCR,77,9,77,15,state1,77,9,77,18,seqFound1,,model_step
model.MUT16V.c,VSCR,77,9,77,15,state1,77,9,77,18,seqFound2,,model_step
model.MUT17V.c,VSCR,77,9,77,15,state1,77,9,77,15,state2,,model_step
model.MUT18V.c,VSCR,80,9,80,18,seqFound1,80,9,80,18,seqFound2,,model_step
model.MUT19V.c,VSCR,80,9,80,18,seqFound1,80,9,80,15,state1,,model_step
model.MUT20V.c,VSCR,80,9,80,18,seqFound1,80,9,80,15,state2,,model_step
model.MUT21V.c,VSCR,85,9,85,15,state1,85,9,85,18,seqFound1,,model_step
model.MUT22V.c,VSCR,85,9,85,15,state1,85,9,85,18,seqFound2,,model_step
model.MUT23V.c,VSCR,85,9,85,15,state1,85,9,85,15,state2,,model_step
model.MUT24V.c,VSCR,90,9,90,15,state1,90,9,90,18,seqFound1,,model_step
model.MUT25V.c,VSCR,90,9,90,15,state1,90,9,90,18,seqFound2,,model_step
model.MUT26V.c,VSCR,90,9,90,15,state1,90,9,90,15,state2,,model_step
model.MUT27V.c,VSCR,95,9,95,15,state1,95,9,95,18,seqFound1,,model_step
model.MUT28V.c,VSCR,95,9,95,15,state1,95,9,95,18,seqFound2,,model_step
model.MUT29V.c,VSCR,95,9,95,15,state1,95,9,95,15,state2,,model_step
model.MUT30V.c,VSCR,98,9,98,18,seqFound1,98,9,98,18,seqFound2,,model_step
model.MUT31V.c,VSCR,98,9,98,18,seqFound1,98,9,98,15,state1,,model_step
model.MUT32V.c,VSCR,98,9,98,18,seqFound1,98,9,98,15,state2,,model_step
model.MUT33V.c,VSCR,102,16,102,27,is_c1_model,102,16,102,27,is_c2_model,,model_step
model.MUT34V.c,VSCR,105,12,105,23,is_c1_model,105,12,105,23,is_c2_model,,model_step
model.MUT35V.c,VSCR,111,12,111,23,is_c1_model,111,12,111,23,is_c2_model,,model_step
model.MUT36V.c,VSCR,114,14,114,25,is_c1_model,114,14,114,25,is_c2_model,,model_step
model.MUT37V.c,VSCR,121,12,121,23,is_c1_model,121,12,121,23,is_c2_model,,model_step
model.MUT38V.c,VSCR,123,12,123,23,is_c1_model,123,12,123,23,is_c2_model,,model_step
model.MUT39V.c,VSCR,129,12,129,23,is_c1_model,129,12,129,23,is_c2_model,,model_step
model.MUT40V.c,VSCR,131,12,131,23,is_c1_model,131,12,131,23,is_c2_model,,model_step
model.MUT41V.c,VSCR,133,12,133,23,is_c1_model,133,12,133,23,is_c2_model,,model_step
model.MUT42V.c,VSCR,135,12,135,23,is_c1_model,135,12,135,23,is_c2_model,,model_step
model.MUT43V.c,VSCR,141,12,141,23,is_c1_model,141,12,141,23,is_c2_model,,model_step
model.MUT44V.c,VSCR,143,12,143,23,is_c1_model,143,12,143,23,is_c2_model,,model_step
model.MUT45V.c,VSCR,151,7,151,16,seqFound2,151,7,151,16,seqFound1,,model_step
model.MUT46V.c,VSCR,151,7,151,16,seqFound2,151,7,151,13,state1,,model_step
model.MUT47V.c,VSCR,151,7,151,16,seqFound2,151,7,151,13,state2,,model_step
model.MUT48V.c,VSCR,156,7,156,13,state2,156,7,156,16,seqFound1,,model_step
model.MUT49V.c,VSCR,156,7,156,13,state2,156,7,156,16,seqFound2,,model_step
model.MUT50V.c,VSCR,156,7,156,13,state2,156,7,156,13,state1,,model_step
model.MUT51V.c,VSCR,161,16,161,27,is_c2_model,161,16,161,27,is_c1_model,,model_step
model.MUT52V.c,VSCR,165,11,165,17,state2,165,11,165,20,seqFound1,,model_step
model.MUT53V.c,VSCR,165,11,165,17,state2,165,11,165,20,seqFound2,,model_step
model.MUT54V.c,VSCR,165,11,165,17,state2,165,11,165,17,state1,,model_step
model.MUT55V.c,VSCR,166,12,166,23,is_c2_model,166,12,166,23,is_c1_model,,model_step
model.MUT56V.c,VSCR,173,11,173,17,state2,173,11,173,20,seqFound1,,model_step
model.MUT57V.c,VSCR,173,11,173,17,state2,173,11,173,20,seqFound2,,model_step
model.MUT58V.c,VSCR,173,11,173,17,state2,173,11,173,17,state1,,model_step
model.MUT59V.c,VSCR,174,12,174,23,is_c2_model,174,12,174,23,is_c1_model,,model_step
model.MUT60V.c,VSCR,178,13,178,19,state2,178,13,178,22,seqFound1,,model_step
model.MUT61V.c,VSCR,178,13,178,19,state2,178,13,178,22,seqFound2,,model_step
model.MUT62V.c,VSCR,178,13,178,19,state2,178,13,178,19,state1,,model_step
model.MUT63V.c,VSCR,179,14,179,25,is_c2_model,179,14,179,25,is_c1_model,,model_step
model.MUT64V.c,VSCR,187,11,187,17,state2,187,11,187,20,seqFound1,,model_step
model.MUT65V.c,VSCR,187,11,187,17,state2,187,11,187,20,seqFound2,,model_step
model.MUT66V.c,VSCR,187,11,187,17,state2,187,11,187,17,state1,,model_step
model.MUT67V.c,VSCR,188,12,188,23,is_c2_model,188,12,188,23,is_c1_model,,model_step
model.MUT68V.c,VSCR,191,11,191,17,state2,191,11,191,20,seqFound1,,model_step
model.MUT69V.c,VSCR,191,11,191,17,state2,191,11,191,20,seqFound2,,model_step
model.MUT70V.c,VSCR,191,11,191,17,state2,191,11,191,17,state1,,model_step
model.MUT71V.c,VSCR,192,12,192,23,is_c2_model,192,12,192,23,is_c1_model,,model_step
model.MUT72V.c,VSCR,199,11,199,17,state2,199,11,199,20,seqFound1,,model_step
model.MUT73V.c,VSCR,199,11,199,17,state2,199,11,199,20,seqFound2,,model_step
model.MUT74V.c,VSCR,199,11,199,17,state2,199,11,199,17,state1,,model_step
model.MUT75V.c,VSCR,200,12,200,23,is_c2_model,200,12,200,23,is_c1_model,,model_step
model.MUT76V.c,VSCR,203,11,203,17,state2,203,11,203,20,seqFound1,,model_step
model.MUT77V.c,VSCR,203,11,203,17,state2,203,11,203,20,seqFound2,,model_step
model.MUT78V.c,VSCR,203,11,203,17,state2,203,11,203,17,state1,,model_step
model.MUT79V.c,VSCR,206,11,206,20,seqFound2,206,11,206,20,seqFound1,,model_step
model.MUT80V.c,VSCR,206,11,206,20,seqFound2,206,11,206,17,state1,,model_step
model.MUT81V.c,VSCR,206,11,206,20,seqFound2,206,11,206,17,state2,,model_step
model.MUT82V.c,VSCR,207,12,207,23,is_c2_model,207,12,207,23,is_c1_model,,model_step
model.MUT83V.c,VSCR,210,11,210,17,state2,210,11,210,20,seqFound1,,model_step
model.MUT84V.c,VSCR,210,11,210,17,state2,210,11,210,20,seqFound2,,model_step
model.MUT85V.c,VSCR,210,11,210,17,state2,210,11,210,17,state1,,model_step
model.MUT86V.c,VSCR,211,12,211,23,is_c2_model,211,12,211,23,is_c1_model,,model_step
model.MUT87V.c,VSCR,214,11,214,17,state2,214,11,214,20,seqFound1,,model_step
model.MUT88V.c,VSCR,214,11,214,17,state2,214,11,214,20,seqFound2,,model_step
model.MUT89V.c,VSCR,214,11,214,17,state2,214,11,214,17,state1,,model_step
model.MUT90V.c,VSCR,215,12,215,23,is_c2_model,215,12,215,23,is_c1_model,,model_step
model.MUT91V.c,VSCR,222,11,222,17,state2,222,11,222,20,seqFound1,,model_step
model.MUT92V.c,VSCR,222,11,222,17,state2,222,11,222,20,seqFound2,,model_step
model.MUT93V.c,VSCR,222,11,222,17,state2,222,11,222,17,state1,,model_step
model.MUT94V.c,VSCR,225,11,225,20,seqFound2,225,11,225,20,seqFound1,,model_step
model.MUT95V.c,VSCR,225,11,225,20,seqFound2,225,11,225,17,state1,,model_step
model.MUT96V.c,VSCR,225,11,225,20,seqFound2,225,11,225,17,state2,,model_step
model.MUT97V.c,VSCR,226,12,226,23,is_c2_model,226,12,226,23,is_c1_model,,model_step
model.MUT98V.c,VSCR,229,11,229,17,state2,229,11,229,20,seqFound1,,model_step
model.MUT99V.c,VSCR,229,11,229,17,state2,229,11,229,20,seqFound2,,model_step
model.MUT100V.c,VSCR,229,11,229,17,state2,229,11,229,17,state1,,model_step
model.MUT101V.c,VSCR,232,11,232,20,seqFound2,232,11,232,20,seqFound1,,model_step
model.MUT102V.c,VSCR,232,11,232,20,seqFound2,232,11,232,17,state1,,model_step
model.MUT103V.c,VSCR,232,11,232,20,seqFound2,232,11,232,17,state2,,model_step
model.MUT104V.c,VSCR,233,12,233,23,is_c2_model,233,12,233,23,is_c1_model,,model_step
model.MUT105V.c,VSCR,243,8,243,19,is_c1_model,243,8,243,19,is_c2_model,,model_initialize
model.MUT106V.c,VSCR,246,8,246,19,is_c2_model,246,8,246,19,is_c1_model,,model_initialize
