Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT7,spec1,0.2638764381408691,0.2276942729949951,0.2453765869140625,0.2243931293487548,0.2294008731842041,0.2305941581726074,0.2327682971954345,0.2321910858154297,0.264078140258789,0.2339625358581543,0.23843355178833003
MUT7,spec2,0.3184685707092285,0.2313337326049804,0.230015754699707,0.2311422824859619,0.2502846717834472,0.2313237190246582,0.2360620498657226,0.2278017997741699,0.226445198059082,0.2400853633880615,0.24229631423950196
MUT9,spec1,0.2661552429199219,0.236860990524292,0.2757453918457031,0.2549872398376465,0.2258718013763427,0.2478508949279785,0.2461705207824707,0.2840874195098877,0.2558279037475586,0.2265784740447998,0.2520135879516602
MUT9,spec2,0.2273416519165039,0.2563285827636719,0.258265733718872,0.2338149547576904,0.2478132247924804,0.231940746307373,0.2533454895019531,0.2309033870697021,0.2248148918151855,0.2301182746887207,0.23946869373321533
MUT10,spec1,0.2276103496551513,0.2332501411437988,0.2319653034210205,0.2340610027313232,0.2557065486907959,0.230072021484375,0.2264320850372314,0.2266604900360107,0.2307052612304687,0.2260336875915527,0.2322496891021728
MUT10,spec2,0.285891056060791,0.2289097309112548,0.2412347793579101,0.2717769145965576,0.2545087337493896,0.2481265068054199,0.2318129539489746,0.2260539531707763,0.2689990997314453,0.2306070327758789,0.24879207611083984
MUT11,spec1,0.2542333602905273,0.2609410285949707,0.2678990364074707,0.262251615524292,0.2950398921966553,0.2284345626831054,0.2271866798400879,0.2834715843200683,0.2338449954986572,0.2340080738067627,0.2547310829162598
MUT11,spec2,0.2285289764404297,0.2747290134429931,0.2400474548339843,0.2277543544769287,0.2264540195465088,0.2517213821411133,0.2408220767974853,0.2350358963012695,0.226515531539917,0.2354614734649658,0.23870701789855958
MUT12,spec2,0.2546637058258056,0.2286436557769775,0.2680659294128418,0.2422101497650146,0.2381496429443359,0.2401919364929199,0.2272918224334716,0.2363393306732177,0.2498643398284912,0.2444493770599365,0.24298698902130128
MUT14,spec1,0.2277064323425293,0.2335209846496582,0.2463002204895019,0.2374207973480224,0.2309436798095703,0.2326948642730713,0.2376604080200195,0.256279706954956,0.2263102531433105,0.2320179939270019,0.23608553409576416
MUT14,spec2,0.2657337188720703,0.2394747734069824,0.2290408611297607,0.2289843559265136,0.2592828273773193,0.2468321323394775,0.2360379695892334,0.2319395542144775,0.2253313064575195,0.2379577159881591,0.2400615215301513
MUT15,spec3,0.2418205738067627,0.2397449016571045,0.2298657894134521,0.2343008518218994,0.2365322113037109,0.2409543991088867,0.2315855026245117,0.2252006530761718,0.2256712913513183,0.2327456474304199,0.23384218215942382
MUT15,spec4,0.4365782737731933,0.2277364730834961,0.2277615070343017,0.4487919807434082,0.2288639545440673,0.246011734008789,0.2312724590301513,0.2761492729187011,0.2261168956756591,0.4462971687316894,0.2995579719543457
MUT16,spec3,0.2491590976715088,0.4357810020446777,0.4407484531402588,0.2319240570068359,0.7479307651519775,0.2361397743225097,0.2331116199493408,0.2308170795440673,1.0771429538726809,0.2334129810333252,0.41161677837371824
MUT18,spec3,0.2285821437835693,0.2498946189880371,0.2275919914245605,0.2329316139221191,1.0735135078430176,0.23002290725708,0.2433724403381347,0.2264943122863769,0.4487297534942627,0.2662489414215088,0.3427382230758667
MUT18,spec4,0.2267539501190185,0.4674384593963623,0.4475600719451904,0.6983306407928467,0.2273111343383789,0.22869873046875,0.2472107410430908,0.2283089160919189,0.4379560947418213,0.2322227954864502,0.3441791534423828
MUT19,spec5,0.2373957633972168,0.2276265621185302,0.230832815170288,0.2325029373168945,0.2234809398651123,0.2271182537078857,0.2273468971252441,0.2400176525115966,0.2384343147277832,0.250636339187622,0.23353924751281738
MUT19,spec6,0.4330251216888428,0.4753165245056152,0.2300200462341308,0.2258667945861816,0.2229135036468505,0.4344034194946289,0.2305090427398681,0.2315597534179687,0.2235357761383056,0.2321095466613769,0.29392595291137696
MUT20,spec5,0.2240204811096191,0.223940372467041,0.2365565299987793,0.2308261394500732,0.254209041595459,0.2255241870880127,0.2270126342773437,0.2345039844512939,0.2225229740142822,0.2282335758209228,0.2307349920272827
MUT3V,spec1,0.2272872924804687,0.2291860580444336,0.226898193359375,0.2358655929565429,0.2405989170074463,0.2284333705902099,0.2299225330352783,0.2294166088104248,0.248178482055664,0.2292230129241943,0.23250100612640381
MUT3V,spec2,0.2403702735900879,0.2279057502746582,0.2685925960540771,0.2316992282867431,0.2321219444274902,0.232616901397705,0.2281680107116699,0.2351727485656738,0.2366344928741455,0.2675087451934814,0.24007906913757324
MUT5V,spec3,0.8677966594696045,0.2302820682525634,0.2278573513031005,0.236457347869873,0.3100988864898681,0.2318258285522461,0.3021900653839111,0.2249705791473388,0.2340176105499267,0.2440114021301269,0.310950779914856
