Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT7,spec1,0.017605,0.015223,0.028346,0.022083,0.026637,0.083521,0.060116,0.050048,0.017012,0.076237,0.0396828
MUT7,spec2,0.019351,0.038115,0.020894,0.023568,0.022953,0.018191,0.01964,0.026022,0.020779,0.074129,0.028364199999999996
MUT9,spec1,0.047803,0.01779,0.085336,0.026604,0.022227,0.048915,0.038887,0.049697,0.043809,0.021897,0.0402965
MUT9,spec2,0.021614,0.018733,0.023098,0.020615,0.017218,0.021828,0.052641,0.019901,0.031223,0.017453,0.0244324
MUT10,spec1,0.023154,0.024489,0.020855,0.022365,0.020603,0.030588,0.034391,0.033272,0.026098,0.037498,0.027331299999999996
MUT10,spec2,0.020683,0.027804,0.023534,0.028177,0.072113,0.029813,0.018897,0.039178,0.035562,0.105418,0.0401179
MUT11,spec1,0.058252,0.064418,0.059601,0.023062,0.086155,0.035882,0.016426,0.018219,0.039383,0.017211,0.0418609
MUT11,spec2,0.030869,0.053876,0.035897,0.023321,0.035933,0.051723,0.067868,0.02483,0.032303,0.024924,0.038154400000000005
MUT12,spec2,0.113012,0.063642,0.062962,0.05583,0.161283,0.038736,0.020041,0.023426,0.071102,0.174136,0.078417
MUT14,spec1,0.095098,0.102668,0.024608,0.115378,0.023264,0.06938,0.163435,0.07843,0.081554,0.184016,0.09378310000000001
MUT14,spec2,0.087287,0.073057,0.082174,0.027006,0.074134,0.021277,0.037253,0.036758,0.047258,0.145973,0.0632177
MUT15,spec3,0.053628,0.185713,0.121503,0.14406,0.240295,0.123956,0.090143,0.082624,0.087338,0.036774,0.1166034
MUT15,spec4,0.136572,0.073279,0.147942,0.095711,0.144924,0.060069,0.28211,0.15076,0.11,0.039265,0.12406320000000001
MUT16,spec3,0.103914,0.080742,0.233805,0.093331,0.101952,0.114195,0.431029,0.435909,0.076574,0.299333,0.19707840000000004
MUT18,spec3,0.096861,0.124876,0.04036,0.325346,0.076452,0.200286,0.144846,0.157641,0.027898,0.683973,0.1878539
MUT18,spec4,0.180023,0.097059,0.257822,0.038945,0.192401,0.439546,0.094616,0.076264,0.139605,0.144791,0.16610720000000004
MUT19,spec5,0.177636,0.149481,0.073945,0.082418,0.04989,0.577853,0.268184,0.038912,0.044439,0.072547,0.15353049999999996
MUT19,spec6,0.114326,0.056438,0.062701,0.042854,0.309829,0.202275,0.114192,0.159193,0.106174,0.151079,0.13190609999999997
MUT20,spec5,0.061082,0.043957,0.134406,0.162069,0.052748,0.059148,0.071132,0.123348,0.039428,0.254618,0.10019360000000002
MUT3V,spec1,0.02367,0.022208,0.034261,0.058678,0.019799,0.039152,0.034332,0.014613,0.021101,0.042833,0.0310647
MUT3V,spec2,0.044008,0.037843,0.047974,0.029904,0.018108,0.020892,0.052466,0.021269,0.024718,0.022634,0.0319816
MUT5V,spec3,0.231383,0.319653,0.061574,0.084601,0.061382,0.087868,0.099611,0.122913,0.255796,0.120642,0.1445423
MUT5V,spec4,0.084307,0.181845,0.074451,0.100302,0.124248,0.30656,0.18823,0.071549,0.061292,0.206248,0.1399032
MUT5V,spec5,0.232136,0.117004,0.051005,0.144147,0.040272,0.066698,0.062814,0.085699,0.228338,0.078342,0.1106455
MUT5V,spec6,0.216803,0.273347,0.153789,0.054534,0.137021,0.077838,0.301224,0.077625,0.029977,0.186974,0.1509132
MUT6V,spec2,0.026627,0.016447,0.049096,0.050819,0.115299,0.035188,0.024492,0.02097,0.030812,0.040704,0.0410454
MUT7V,spec1,0.161862,0.057126,0.267706,0.184173,0.091242,0.082779,0.097989,0.060469,0.035554,0.114134,0.11530340000000001
MUT8V,spec3,0.051875,0.090767,0.060875,0.136639,0.457029,0.11793,0.29863,0.13998,0.291494,0.241148,0.1886367
MUT9V,spec4,0.163137,0.102355,0.113816,0.066322,0.063082,0.204448,0.148587,0.057584,0.054563,0.271947,0.1245841
MUT10V,spec5,0.26031,0.102845,0.228866,0.104941,0.052931,0.080062,0.079324,0.090773,0.096776,0.280486,0.1377314
MUT11V,spec6,0.036889,0.247632,0.468376,0.079255,0.163749,0.04563,0.046304,0.196074,0.209847,0.101343,0.15950989999999998
