Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT10,spec2,,,1593.066524,,1507.009227,441.883583,,1022.540933,,,1536.4500266999999
MUT74,spec1,,,,,,,,,,,1800.0
MUT109,spec1,,,,,,,,,,,1800.0
MUT3,spec6,0.104474,2.927933,1.037437,1.432717,0.179086,0.820128,2.913766,0.214113,2.805681,0.087446,1.2522781
MUT6,spec3,0.030534,0.031269,0.044278,0.051643,0.047556,0.039225,0.032401,0.039941,0.041574,0.031836,0.03902570000000001
MUT167,spec5,,,,,,,,,,,1800.0
MUT6V,spec2,1666.515888,1708.324779,443.994762,,,,1233.885605,,1449.144256,393.373972,1409.5239262
MUT6V,spec6,1.777106,0.36232,0.115055,0.995783,2.93418,0.417926,0.888764,0.557891,0.09794,2.744618,1.0891583
MUT13V,spec2,1606.129174,1325.311033,248.038814,,,,,,,,1577.9479021
MUT16V,spec3,268.935487,108.385272,21.296782,284.409583,908.541252,67.067767,117.599746,51.31955,909.914457,621.326843,335.87967390000006
MUT16V,spec6,0.178611,0.266179,0.944526,3.319192,0.635925,0.598367,0.099119,1.825437,0.266034,0.102736,0.8236126
MUT18V,spec6,1.140772,0.289545,1.065583,0.375472,0.692808,1.741458,0.08435,1.19528,1.831211,0.115894,0.8532373
MUT20V,spec3,,284.20375,,,1053.700965,1058.701717,,221.812851,1683.795696,,1330.2214979
MUT37V,spec6,1.18246,0.661802,0.202861,0.229145,0.978252,0.238244,0.30802,0.618416,0.120617,0.984171,0.5523988
MUT49V,spec2,,,,,,,,,,,1800
MUT49V,spec3,7.012774,2.651768,0.369113,19.178075,14.114475,14.922719,10.007145,16.44433,9.479661,7.713042,10.1893102
MUT52V,spec2,629.618767,,796.261101,,,,,,,1019.851845,1504.5731713
MUT52V,spec3,28.452799,14.119265,11.47622,11.388029,8.213962,36.928528,28.411847,9.612301,1.085763,7.334051,15.7022765
MUT54V,spec3,3.497006,52.580777,1.701298,6.738238,4.077967,21.788927,9.087241,16.87853,3.485626,11.512959,13.134856899999999
MUT65V,spec3,0.015884,0.019474,0.016837,0.03016,0.008472,0.017974,0.005054,0.015956,0.016095,0.019162,0.016506800000000005
MUT67V,spec2,,,233.77868,,,,,,,,1643.377868
MUT68V,spec4,665.906494,98.379811,,819.453839,,,709.139179,1216.769601,,,1250.9648924
MUT68V,spec5,,,,,,,,450.700238,,,1665.0700238000002
MUT76V,spec6,1.611523,0.330759,0.589452,0.144231,1.067966,1.715826,0.301969,2.228852,0.116193,0.149629,0.8256399999999999
MUT81V,spec6,0.256803,0.460201,0.23502,2.031326,0.134303,1.140741,0.431438,1.603737,1.577368,0.265077,0.8136013999999999
MUT88V,spec2,,655.083601,265.223174,1409.649452,700.288563,,,,,190.430457,1222.0675247
MUT93V,spec5,,,,,,,,,,,1800
MUT101V,spec2,,1659.930903,,,,428.05841,,399.965074,1678.623675,897.791623,1406.4369685000001
MUT138V,spec2,951.879466,1654.350242,687.687989,451.455945,,,667.578829,,300.463834,,1191.3416305
MUT140V,spec5,,,,,,,,,,,1800
MUT164V,spec3,,,,,,,,,,,1800
MUT360V,spec2,,,,,,,,,,,1800
MUT397V,spec3,0.450749,0.805497,3.334056,1.793526,2.056547,3.503755,2.045882,1.247002,3.977654,6.338499,2.5553166999999997
MUT517V,spec2,589.30853,,842.720606,405.640442,88.04863,25.692102,431.937843,,1258.596872,,904.1945025000001
MUT519V,spec2,481.691072,220.228366,,,,1207.951959,,54.068739,,,1276.3940135999999
MUT528V,spec2,1149.066667,,112.25338,1580.133777,720.097976,565.490817,,838.420427,976.872294,310.809568,985.3144906
MUT540V,spec2,,,,,1223.418406,899.743594,168.058148,,1069.248928,681.587393,1304.2056469
MUT543V,spec2,228.575847,688.114757,215.186342,602.073669,529.522067,79.984726,291.432607,1124.432179,,,735.9322194
MUT544V,spec2,,556.897047,298.6667,,1714.459368,974.314957,281.964303,,1374.40449,306.750576,1090.7457441000001
MUT615V,spec6,,,,,,,,,,,1800
MUT760V,spec1,,,,,,,,,,,1800
MUT777V,spec2,,,,,,,,,,,1800
MUT858V,spec2,,,,,,,,,,,1800
MUT873V,spec2,,,,,,,,,,,1800
MUT873V,spec3,712.052432,290.822182,17.229629,627.798061,148.462166,306.006033,43.711695,287.18683,39.88279,185.261594,265.84134120000004
MUT956V,spec1,0.021557,0.005595,0.024377,0.018637,0.014792,0.016417,0.005482,0.018459,0.009951,0.021853,0.015712
MUT1000V,spec5,,,,,,,,,,,1800
MUT1013V,spec3,279.554583,326.200505,3.375654,10.335023,336.444938,285.767631,11.85038,161.81394,93.368217,672.528033,218.1238904
MUT1013V,spec6,,,,,,,,,,,1800
MUT1084V,spec5,,,,,,,,,,,1800
