Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Total
MUT11,spec7,No,No,No,No,No,No,No,No,No,No,0.0
MUT26,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT36,spec10,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,6.0
MUT42,spec8,No,No,No,No,No,Yes,No,No,No,No,1.0
MUT51,spec11,No,No,No,No,No,No,No,No,No,No,0.0
MUT172,spec1,Yes,No,No,No,No,No,Yes,No,Yes,No,3.0
MUT16,spec9,No,No,No,No,No,No,No,No,No,No,0.0
MUT31,spec5,Yes,No,No,Yes,No,No,No,No,No,No,2.0
MUT42V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT42V,spec7,No,No,No,No,No,No,No,No,No,No,0.0
MUT53V,spec9,No,No,No,No,No,No,No,No,No,No,0.0
MUT68V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT78V,spec7,No,No,No,Yes,Yes,Yes,No,No,No,No,3.0
MUT105V,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT114V,spec2,No,No,No,No,Yes,No,No,No,Yes,No,2.0
MUT131V,spec4,No,No,No,No,No,No,No,No,No,No,0.0
MUT156V,spec1,No,No,No,No,No,No,No,Yes,No,No,1.0
MUT167V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT169V,spec9,No,No,No,No,No,No,No,No,No,No,0.0
MUT180V,spec11,No,No,No,No,No,No,No,No,No,No,0.0
MUT260V,spec11,No,No,No,No,No,No,No,No,No,No,0.0
MUT294V,spec2,Yes,No,No,Yes,No,No,Yes,No,No,No,3.0
MUT307V,spec8,No,No,No,No,No,No,No,No,No,No,0.0
MUT359V,spec10,No,No,No,No,No,No,No,No,No,No,0.0
MUT636V,spec4,No,No,No,No,No,No,No,No,No,No,0.0
MUT739V,spec2,No,No,No,No,Yes,No,No,Yes,No,No,2.0
MUT749V,spec6,No,No,No,No,No,No,No,No,No,No,0.0
MUT752V,spec12,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,7.0
MUT756V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT775V,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT780V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT785V,spec3,No,No,No,No,No,No,No,No,No,No,0.0
MUT789V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT789V,spec3,No,No,No,No,No,No,No,No,No,No,0.0
MUT790V,spec1,No,No,No,No,No,No,No,No,No,Yes,1.0
MUT790V,spec3,No,No,No,No,No,No,No,No,No,No,0.0
MUT817V,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT1252V,spec11,No,No,No,No,No,No,No,No,No,No,0.0
MUT1261V,spec12,No,No,No,No,No,No,No,No,No,No,0.0
MUT1262V,spec4,No,No,No,No,No,No,No,No,No,No,0.0
MUT1269V,spec9,No,No,No,No,No,No,No,No,No,No,0.0
MUT1273V,spec12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT1283V,spec6,No,No,No,No,No,No,No,No,No,No,0.0
MUT1283V,spec11,No,No,No,No,No,No,No,No,No,No,0.0
MUT1323V,spec2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10.0
MUT1326V,spec1,No,No,No,No,No,No,No,No,No,No,0.0
MUT1429V,spec2,No,No,No,No,No,No,No,No,No,No,0.0
MUT1461V,spec5,No,No,No,No,No,No,No,No,No,No,0.0
MUT1602V,spec9,No,No,No,No,No,No,No,No,No,No,0.0
MUT1633V,spec8,No,No,No,No,No,No,No,No,No,No,0.0
