,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT1.c,SSDL,70,3,79,4,if (rtDW.is_ON == ((uint8_T)2U)) {,70,3,70,4,;,,exit_internal_ON
model.MUT2.c,ORRN,70,18,70,20,==,70,18,70,20,!=,==!=,exit_internal_ON
model.MUT3.c,ORRN,70,18,70,20,==,70,18,70,19,<,==<,exit_internal_ON
model.MUT4.c,ORRN,70,18,70,20,==,70,18,70,20,<=,==<=,exit_internal_ON
model.MUT5.c,ORRN,70,18,70,20,==,70,18,70,19,>,==>,exit_internal_ON
model.MUT6.c,ORRN,70,18,70,20,==,70,18,70,20,>=,==>=,exit_internal_ON
model.MUT7.c,SSDL,70,32,77,4,{,70,32,70,33,{,,exit_internal_ON
model.MUT8.c,SSDL,75,5,75,24,rtY.MechCmd = STOP,75,5,75,6,;,,exit_internal_ON
model.MUT9.c,SSDL,86,3,269,4,if (rtU.DiscEject != 0.) {,86,3,86,4,;,,ModeManager
model.MUT10.c,ORRN,86,21,86,23,!=,86,21,86,22,<,!=<,ModeManager
model.MUT11.c,ORRN,86,21,86,23,!=,86,21,86,23,<=,!=<=,ModeManager
model.MUT12.c,ORRN,86,21,86,23,!=,86,21,86,23,==,!===,ModeManager
model.MUT13.c,ORRN,86,21,86,23,!=,86,21,86,22,>,!=>,ModeManager
model.MUT14.c,ORRN,86,21,86,23,!=,86,21,86,23,>=,!=>=,ModeManager
model.MUT15.c,SSDL,86,29,98,4,{,86,29,86,30,{,,ModeManager
model.MUT16.c,SSDL,87,5,92,6,if (rtDW.is_ModeManager == ((uint8_T)1U)) {,87,5,87,6,;,,ModeManager
model.MUT17.c,ORRN,87,29,87,31,==,87,29,87,31,!=,==!=,ModeManager
model.MUT18.c,ORRN,87,29,87,31,==,87,29,87,30,<,==<,ModeManager
model.MUT19.c,ORRN,87,29,87,31,==,87,29,87,31,<=,==<=,ModeManager
model.MUT20.c,ORRN,87,29,87,31,==,87,29,87,30,>,==>,ModeManager
model.MUT21.c,ORRN,87,29,87,31,==,87,29,87,31,>=,==>=,ModeManager
model.MUT22.c,SSDL,87,39,90,6,{,87,39,87,40,{,,ModeManager
model.MUT23.c,SSDL,88,7,88,26,exit_internal_ON(),88,7,88,8,;,,ModeManager
model.MUT24.c,SSDL,97,5,97,25,rtY.MechCmd = EJECT,97,5,97,6,;,,ModeManager
model.MUT25.c,SSDL,98,10,269,4,if (rtDW.is_ModeManager == ((uint8_T)1U)) {,98,10,98,11,;,,ModeManager
model.MUT26.c,ORRN,98,34,98,36,==,98,34,98,36,!=,==!=,ModeManager
model.MUT27.c,ORRN,98,34,98,36,==,98,34,98,35,<,==<,ModeManager
model.MUT28.c,ORRN,98,34,98,36,==,98,34,98,36,<=,==<=,ModeManager
model.MUT29.c,ORRN,98,34,98,36,==,98,34,98,35,>,==>,ModeManager
model.MUT30.c,ORRN,98,34,98,36,==,98,34,98,36,>=,==>=,ModeManager
model.MUT31.c,SSDL,100,5,212,6,if (rtU.RadioReq == OFF) {,100,5,100,6,;,,ModeManager
model.MUT32.c,ORRN,100,22,100,24,==,100,22,100,24,!=,==!=,ModeManager
model.MUT33.c,ORRN,100,22,100,24,==,100,22,100,23,<,==<,ModeManager
model.MUT34.c,ORRN,100,22,100,24,==,100,22,100,24,<=,==<=,ModeManager
model.MUT35.c,ORRN,100,22,100,24,==,100,22,100,23,>,==>,ModeManager
model.MUT36.c,ORRN,100,22,100,24,==,100,22,100,24,>=,==>=,ModeManager
model.MUT37.c,SSDL,100,30,110,6,{,100,30,100,31,{,,ModeManager
model.MUT38.c,SSDL,101,7,101,26,exit_internal_ON(),101,7,101,8,;,,ModeManager
model.MUT39.c,SSDL,106,7,106,34,rtY.CurrentRadioMode = OFF,106,7,106,8,;,,ModeManager
model.MUT40.c,SSDL,109,7,109,26,rtY.MechCmd = STOP,109,7,109,8,;,,ModeManager
model.MUT41.c,SSDL,110,12,212,6,if (*RadioReq_prev != rtDW.RadioReq_start) {,110,12,110,13,;,,ModeManager
model.MUT42.c,ORRN,110,31,110,33,!=,110,31,110,32,<,!=<,ModeManager
model.MUT43.c,ORRN,110,31,110,33,!=,110,31,110,33,<=,!=<=,ModeManager
model.MUT44.c,ORRN,110,31,110,33,!=,110,31,110,33,==,!===,ModeManager
model.MUT45.c,ORRN,110,31,110,33,!=,110,31,110,32,>,!=>,ModeManager
model.MUT46.c,ORRN,110,31,110,33,!=,110,31,110,33,>=,!=>=,ModeManager
model.MUT47.c,SSDL,111,7,156,8,if (rtU.RadioReq == CD) {,111,7,111,8,;,,ModeManager
model.MUT48.c,ORRN,111,24,111,26,==,111,24,111,26,!=,==!=,ModeManager
model.MUT49.c,ORRN,111,24,111,26,==,111,24,111,25,<,==<,ModeManager
model.MUT50.c,ORRN,111,24,111,26,==,111,24,111,26,<=,==<=,ModeManager
model.MUT51.c,ORRN,111,24,111,26,==,111,24,111,25,>,==>,ModeManager
model.MUT52.c,ORRN,111,24,111,26,==,111,24,111,26,>=,==>=,ModeManager
model.MUT53.c,SSDL,111,31,135,8,{,111,31,111,32,{,,ModeManager
model.MUT54.c,SSDL,112,9,112,28,exit_internal_ON(),112,9,112,10,;,,ModeManager
model.MUT55.c,SSDL,117,9,117,35,rtY.CurrentRadioMode = CD,117,9,117,10,;,,ModeManager
model.MUT56.c,SSDL,120,9,120,28,rtY.MechCmd = STOP,120,9,120,10,;,,ModeManager
model.MUT57.c,SSDL,123,9,134,10,if (rtU.DiscPresent) {,123,9,123,10,;,,ModeManager
model.MUT58.c,SSDL,123,30,129,10,{,123,30,123,31,{,,ModeManager
model.MUT59.c,SSDL,128,11,128,30,rtY.MechCmd = PLAY,128,11,128,12,;,,ModeManager
model.MUT60.c,SSDL,129,16,134,10,{,129,16,129,17,{,,ModeManager
model.MUT61.c,SSDL,133,11,133,30,rtY.MechCmd = STOP,133,11,133,12,;,,ModeManager
model.MUT62.c,SSDL,135,14,156,8,if (rtU.RadioReq == AM) {,135,14,135,15,;,,ModeManager
model.MUT63.c,ORRN,135,31,135,33,==,135,31,135,33,!=,==!=,ModeManager
model.MUT64.c,ORRN,135,31,135,33,==,135,31,135,32,<,==<,ModeManager
model.MUT65.c,ORRN,135,31,135,33,==,135,31,135,33,<=,==<=,ModeManager
model.MUT66.c,ORRN,135,31,135,33,==,135,31,135,32,>,==>,ModeManager
model.MUT67.c,ORRN,135,31,135,33,==,135,31,135,33,>=,==>=,ModeManager
model.MUT68.c,SSDL,135,38,145,8,{,135,38,135,39,{,,ModeManager
model.MUT69.c,SSDL,136,9,136,28,exit_internal_ON(),136,9,136,10,;,,ModeManager
model.MUT70.c,SSDL,141,9,141,35,rtY.CurrentRadioMode = AM,141,9,141,10,;,,ModeManager
model.MUT71.c,SSDL,144,9,144,28,rtY.MechCmd = STOP,144,9,144,10,;,,ModeManager
model.MUT72.c,SSDL,145,14,156,8,{,145,14,145,15,{,,ModeManager
model.MUT73.c,SSDL,147,9,147,28,exit_internal_ON(),147,9,147,10,;,,ModeManager
model.MUT74.c,SSDL,152,9,152,35,rtY.CurrentRadioMode = FM,152,9,152,10,;,,ModeManager
model.MUT75.c,SSDL,155,9,155,28,rtY.MechCmd = STOP,155,9,155,10,;,,ModeManager
model.MUT76.c,SSDL,158,7,211,8,switch (rtDW.is_ON) {,158,7,158,8,;,,ModeManager
model.MUT77.c,SSDL,161,9,161,35,rtY.CurrentRadioMode = AM,161,9,161,10,;,,ModeManager
model.MUT78.c,SSDL,162,9,162,15,break;,162,9,162,10,;,,ModeManager
model.MUT79.c,SSDL,169,9,169,35,rtY.CurrentRadioMode = CD,169,9,169,10,;,,ModeManager
model.MUT80.c,SSDL,170,9,204,10,if (rtDW.is_CDMode == ((uint8_T)1U)) {,170,9,170,10,;,,ModeManager
model.MUT81.c,ORRN,170,28,170,30,==,170,28,170,30,!=,==!=,ModeManager
model.MUT82.c,ORRN,170,28,170,30,==,170,28,170,29,<,==<,ModeManager
model.MUT83.c,ORRN,170,28,170,30,==,170,28,170,30,<=,==<=,ModeManager
model.MUT84.c,ORRN,170,28,170,30,==,170,28,170,29,>,==>,ModeManager
model.MUT85.c,ORRN,170,28,170,30,==,170,28,170,30,>=,==>=,ModeManager
model.MUT86.c,SSDL,172,11,195,12,if (rtU.CdReq == STOP) {,172,11,172,12,;,,ModeManager
model.MUT87.c,ORRN,172,25,172,27,==,172,25,172,27,!=,==!=,ModeManager
model.MUT88.c,ORRN,172,25,172,27,==,172,25,172,26,<,==<,ModeManager
model.MUT89.c,ORRN,172,25,172,27,==,172,25,172,27,<=,==<=,ModeManager
model.MUT90.c,ORRN,172,25,172,27,==,172,25,172,26,>,==>,ModeManager
model.MUT91.c,ORRN,172,25,172,27,==,172,25,172,27,>=,==>=,ModeManager
model.MUT92.c,SSDL,172,34,178,12,{,172,34,172,35,{,,ModeManager
model.MUT93.c,SSDL,177,13,177,32,rtY.MechCmd = STOP,177,13,177,14,;,,ModeManager
model.MUT94.c,SSDL,178,18,195,12,if ((rtU.CdReq == FF) && (rtDW.is_Play != ((uint8_T)1U))) {,178,18,178,19,;,,ModeManager
model.MUT95.c,ORRN,178,33,178,35,==,178,33,178,35,!=,==!=,ModeManager
model.MUT96.c,ORRN,178,33,178,35,==,178,33,178,34,<,==<,ModeManager
model.MUT97.c,ORRN,178,33,178,35,==,178,33,178,35,<=,==<=,ModeManager
model.MUT98.c,ORRN,178,33,178,35,==,178,33,178,34,>,==>,ModeManager
model.MUT99.c,ORRN,178,33,178,35,==,178,33,178,35,>=,==>=,ModeManager
model.MUT100.c,OLLN,178,40,178,42,&&,178,40,178,42,||,&&||,ModeManager
model.MUT101.c,ORRN,178,57,178,59,!=,178,57,178,58,<,!=<,ModeManager
model.MUT102.c,ORRN,178,57,178,59,!=,178,57,178,59,<=,!=<=,ModeManager
model.MUT103.c,ORRN,178,57,178,59,!=,178,57,178,59,==,!===,ModeManager
model.MUT104.c,ORRN,178,57,178,59,!=,178,57,178,58,>,!=>,ModeManager
model.MUT105.c,ORRN,178,57,178,59,!=,178,57,178,59,>=,!=>=,ModeManager
model.MUT106.c,SSDL,178,77,183,12,{,178,77,178,78,{,,ModeManager
model.MUT107.c,SSDL,182,13,182,30,rtY.MechCmd = FF,182,13,182,14,;,,ModeManager
model.MUT108.c,SSDL,183,18,195,12,if ((rtU.CdReq == REW) && (rtDW.is_Play != ((uint8_T)3U))) {,183,18,183,19,;,,ModeManager
model.MUT109.c,ORRN,183,33,183,35,==,183,33,183,35,!=,==!=,ModeManager
model.MUT110.c,ORRN,183,33,183,35,==,183,33,183,34,<,==<,ModeManager
model.MUT111.c,ORRN,183,33,183,35,==,183,33,183,35,<=,==<=,ModeManager
model.MUT112.c,ORRN,183,33,183,35,==,183,33,183,34,>,==>,ModeManager
model.MUT113.c,ORRN,183,33,183,35,==,183,33,183,35,>=,==>=,ModeManager
model.MUT114.c,OLLN,183,41,183,43,&&,183,41,183,43,||,&&||,ModeManager
model.MUT115.c,ORRN,183,58,183,60,!=,183,58,183,59,<,!=<,ModeManager
model.MUT116.c,ORRN,183,58,183,60,!=,183,58,183,60,<=,!=<=,ModeManager
model.MUT117.c,ORRN,183,58,183,60,!=,183,58,183,60,==,!===,ModeManager
model.MUT118.c,ORRN,183,58,183,60,!=,183,58,183,59,>,!=>,ModeManager
model.MUT119.c,ORRN,183,58,183,60,!=,183,58,183,60,>=,!=>=,ModeManager
model.MUT120.c,SSDL,183,70,188,12,{,183,70,183,71,{,,ModeManager
model.MUT121.c,SSDL,187,13,187,31,rtY.MechCmd = REW,187,13,187,14,;,,ModeManager
model.MUT122.c,SSDL,189,13,194,14,if ((rtU.CdReq == PLAY) && (rtDW.is_Play != ((uint8_T)2U))) {,189,13,189,14,;,,ModeManager
model.MUT123.c,ORRN,189,28,189,30,==,189,28,189,30,!=,==!=,ModeManager
model.MUT124.c,ORRN,189,28,189,30,==,189,28,189,29,<,==<,ModeManager
model.MUT125.c,ORRN,189,28,189,30,==,189,28,189,30,<=,==<=,ModeManager
model.MUT126.c,ORRN,189,28,189,30,==,189,28,189,29,>,==>,ModeManager
model.MUT127.c,ORRN,189,28,189,30,==,189,28,189,30,>=,==>=,ModeManager
model.MUT128.c,OLLN,189,37,189,39,&&,189,37,189,39,||,&&||,ModeManager
model.MUT129.c,ORRN,189,54,189,56,!=,189,54,189,55,<,!=<,ModeManager
model.MUT130.c,ORRN,189,54,189,56,!=,189,54,189,56,<=,!=<=,ModeManager
