,,,Before Mutation,,,,,After Mutation
Mutant Filename,Mutation Operator,Start Line#,Start Col#,End Line#,End Col#,Target Token,Start Line#,Start Col#,End Line#,End Col#,Mutated Token,Extra Info
model.MUT1.c,SSDL,98,3,102,4,if (rtY.LED == ((int8_T)0)) {,98,3,98,4,;,,flash_LED
model.MUT2.c,ORRN,98,15,98,17,==,98,15,98,17,!=,==!=,flash_LED
model.MUT3.c,ORRN,98,15,98,17,==,98,15,98,16,<,==<,flash_LED
model.MUT4.c,ORRN,98,15,98,17,==,98,15,98,17,<=,==<=,flash_LED
model.MUT5.c,ORRN,98,15,98,17,==,98,15,98,16,>,==>,flash_LED
model.MUT6.c,ORRN,98,15,98,17,==,98,15,98,17,>=,==>=,flash_LED
model.MUT7.c,SSDL,99,5,99,26,rtY.LED = rtDW.color,99,5,99,6,;,,flash_LED
model.MUT8.c,SSDL,113,3,113,25,return rtU.temp <= 20;,113,3,113,4,;,,cold
model.MUT9.c,ORRN,113,19,113,21,<=,113,19,113,21,!=,<=!=,cold
model.MUT10.c,ORRN,113,19,113,21,<=,113,19,113,20,<,<=<,cold
model.MUT11.c,ORRN,113,19,113,21,<=,113,19,113,21,==,<===,cold
model.MUT12.c,ORRN,113,19,113,21,<=,113,19,113,20,>,<=>,cold
model.MUT13.c,ORRN,113,19,113,21,<=,113,19,113,21,>=,<=>=,cold
model.MUT14.c,SSDL,119,3,119,18,return !cold();,119,3,119,4,;,,warm
model.MUT15.c,SSDL,125,3,129,4,if (mode == ((int8_T)1)) {,125,3,125,4,;,,turn_boiler
model.MUT16.c,ORRN,125,12,125,14,==,125,12,125,14,!=,==!=,turn_boiler
model.MUT17.c,ORRN,125,12,125,14,==,125,12,125,13,<,==<,turn_boiler
model.MUT18.c,ORRN,125,12,125,14,==,125,12,125,14,<=,==<=,turn_boiler
model.MUT19.c,ORRN,125,12,125,14,==,125,12,125,13,>,==>,turn_boiler
model.MUT20.c,ORRN,125,12,125,14,==,125,12,125,14,>=,==>=,turn_boiler
model.MUT21.c,SSDL,132,3,132,24,rtY.LED = rtDW.color,132,3,132,4,;,,turn_boiler
model.MUT22.c,SSDL,135,3,135,21,rtY.boiler = mode,135,3,135,4,;,,turn_boiler
model.MUT23.c,SSDL,145,3,148,41,printf("%s %d %d %s %s %d\n",145,3,145,4,;,,model_step
model.MUT24.c,SSDL,151,3,153,4,if (rtDW.temporalCounter_i1 < 63U) {,151,3,151,4,;,,model_step
model.MUT25.c,ORRN,151,31,151,32,<,151,31,151,33,!=,<!=,model_step
model.MUT26.c,ORRN,151,31,151,32,<,151,31,151,33,<=,<<=,model_step
model.MUT27.c,ORRN,151,31,151,32,<,151,31,151,33,==,<==,model_step
model.MUT28.c,ORRN,151,31,151,32,<,151,31,151,32,>,<>,model_step
model.MUT29.c,ORRN,151,31,151,32,<,151,31,151,33,>=,<>=,model_step
model.MUT30.c,SSDL,152,5,152,31,rtDW.temporalCounter_i1++,152,5,152,6,;,,model_step
model.MUT31.c,SSDL,155,3,157,4,if (rtDW.temporalCounter_i2 < 7U) {,155,3,155,4,;,,model_step
model.MUT32.c,ORRN,155,31,155,32,<,155,31,155,33,!=,<!=,model_step
model.MUT33.c,ORRN,155,31,155,32,<,155,31,155,33,<=,<<=,model_step
model.MUT34.c,ORRN,155,31,155,32,<,155,31,155,33,==,<==,model_step
model.MUT35.c,ORRN,155,31,155,32,<,155,31,155,32,>,<>,model_step
model.MUT36.c,ORRN,155,31,155,32,<,155,31,155,33,>=,<>=,model_step
model.MUT37.c,SSDL,156,5,156,31,rtDW.temporalCounter_i2++,156,5,156,6,;,,model_step
model.MUT38.c,SSDL,159,3,217,4,if (rtDW.is_active_c7_model == 0U) {,159,3,159,4,;,,model_step
model.MUT39.c,ORRN,159,31,159,33,==,159,31,159,33,!=,==!=,model_step
model.MUT40.c,ORRN,159,31,159,33,==,159,31,159,32,<,==<,model_step
model.MUT41.c,ORRN,159,31,159,33,==,159,31,159,33,<=,==<=,model_step
model.MUT42.c,ORRN,159,31,159,33,==,159,31,159,32,>,==>,model_step
model.MUT43.c,ORRN,159,31,159,33,==,159,31,159,33,>=,==>=,model_step
model.MUT44.c,SSDL,159,38,166,4,{,159,38,159,39,{,,model_step
model.MUT45.c,SSDL,160,5,160,34,rtDW.is_active_c7_model = 1U,160,5,160,6,;,,model_step
model.MUT46.c,SSDL,162,5,162,34,rtDW.temporalCounter_i1 = 0U,162,5,162,6,;,,model_step
model.MUT47.c,SSDL,163,5,163,22,turn_boiler(((int8_T)0)),163,5,163,6,;,,model_step
model.MUT48.c,SSDL,164,5,164,34,rtDW.temporalCounter_i2 = 0U,164,5,164,6,;,,model_step
model.MUT49.c,SSDL,165,5,165,17,flash_LED(),165,5,165,6,;,,model_step
model.MUT50.c,SSDL,166,10,217,4,if (rtDW.is_c7_model == ((uint8_T)1U)) {,166,10,166,11,;,,model_step
model.MUT51.c,ORRN,166,31,166,33,==,166,31,166,33,!=,==!=,model_step
