Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT26,spec11,0.2285232543945312,0.4313490390777588,0.2354369163513183,0.4374604225158691,0.4835200309753418,0.4396722316741943,0.4534564018249511,0.4739167690277099,0.4292006492614746,0.4485785961151123,0.4061114311218262
MUT27,spec11,0.4347610473632812,0.2329659461975097,0.4329655170440674,0.4539692401885986,0.4462013244628906,0.4321277141571045,0.2284891605377197,0.4415707588195801,0.4451098442077636,0.4470245838165283,0.3995185136795044
MUT29,spec12,1.9375693798065183,1.0609796047210691,0.6394832134246826,4.662590980529785,0.8674697875976562,1.4879047870635986,1.2557172775268557,4.838865041732788,2.129200935363769,0.8577511310577393,1.9737532138824463
MUT43,spec7,0.4349267482757568,0.4290175437927246,0.4446120262145996,0.2230870723724365,0.2319254875183105,0.224358320236206,0.2230288982391357,0.2285165786743164,0.4288825988769531,0.448397159576416,0.33167524337768556
MUT44,spec7,0.4425346851348877,0.4474592208862304,0.2292981147766113,0.2231535911560058,0.2403361797332763,0.4429590702056885,0.2238643169403076,0.4385976791381836,0.2256362438201904,0.4473264217376709,0.3361165523529053
MUT46,spec8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT16,spec9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT18,spec9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT20,spec10,0.2286515235900879,0.2255561351776123,0.4337759017944336,0.2258427143096923,0.4303381443023681,0.4525797367095947,0.2359514236450195,0.2334301471710205,0.4496726989746094,0.2318558692932129,0.3147654294967651
MUT21,spec10,0.4334251880645752,0.4458942413330078,0.2257890701293945,0.4477524757385254,0.4393067359924316,0.2267136573791504,0.2563774585723877,0.2308301925659179,0.4820055961608886,0.4398176670074463,0.36279122829437255
MUT23,spec5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT24,spec11,0.4428901672363281,0.2298145294189453,0.4342443943023681,0.4759769439697265,0.4428722858428955,0.4584450721740722,0.4714467525482178,0.43072509765625,0.2283837795257568,0.440061092376709,0.405486011505127
MUT24,spec12,0.4908607006072998,0.4322364330291748,0.4571118354797363,0.2283999919891357,0.4403698444366455,0.4316141605377197,0.4456696510314941,0.4392049312591553,0.2323732376098632,0.2292046546936035,0.3827045440673828
MUT30,spec12,0.6573247909545898,1.9713053703308103,0.6488697528839111,7.35433554649353,6.048895120620728,0.8551793098449707,2.116905450820923,0.9254105091094972,0.8722286224365234,0.4337120056152344,2.1884166479110716
MUT33,spec11,0.2292282581329345,0.2383098602294922,0.2340891361236572,0.2285101413726806,0.2266747951507568,0.2282578945159912,0.2340278625488281,0.432521104812622,0.2299909591674804,0.434971809387207,0.271658182144165
MUT35,spec12,1.248814821243286,1.0739414691925049,1.7685270309448242,1.6817920207977295,2.811915397644043,3.327728271484375,4.769167184829712,3.32525634765625,2.9289422035217285,1.506244659423828,2.444232940673828
MUT37,spec9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT38,spec9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT40,spec2,0.4329884052276611,0.6352927684783936,0.8667633533477783,0.4335720539093017,0.6367814540863037,0.6830649375915527,0.6482775211334229,0.8586165904998779,0.4498984813690185,0.6454856395721436,0.6290741205215454
MUT41,spec7,0.2327516078948974,0.4554083347320556,0.2305400371551513,0.2228262424468994,0.2247285842895507,0.2276830673217773,0.2236196994781494,0.2234096527099609,0.2239809036254882,0.2343494892120361,0.24992976188659663
MUT41,spec8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT47,spec8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT50,spec7,0.2331857681274414,0.2268469333648681,0.4321298599243164,0.2329440116882324,0.2249164581298828,0.2238478660583496,0.2237827777862548,0.2352423667907714,0.2276363372802734,0.4409351348876953,0.2701467514038086
