Failure_mutation,Failure_spec,1,2,3,4,5,6,7,8,9,10,Time_log
MUT26,spec11,0.073037,0.184864,0.115837,0.361604,0.311026,0.128663,0.023811,0.242717,0.120022,0.110341,0.1671922
MUT27,spec11,0.352873,0.036065,0.520042,0.056833,0.1248,0.029695,0.03542,0.149732,0.02936,0.33096,0.166578
MUT29,spec12,,,,,,,,,,,1800.0
MUT43,spec7,0.797424,0.238768,0.183551,0.070119,0.440338,0.039058,0.567547,0.093146,0.063,0.960434,0.3453385
MUT44,spec7,0.17249,0.340865,1.054742,3.801201,0.052068,1.074541,0.481623,0.581886,0.51955,1.358728,0.9437693999999999
MUT46,spec8,0.031609,0.028416,0.024493,0.021079,0.030927,0.03436,0.039381,0.021198,0.036698,0.031239,0.02994
MUT16,spec9,0.036927,0.038995,0.031213,0.024592,0.024113,0.024907,0.03814,0.032161,0.023973,0.031697,0.030671800000000006
MUT18,spec9,0.034919,0.034051,0.018989,0.03071,0.03142,0.03023,0.035924,0.033556,0.031695,0.023374,0.0304868
MUT20,spec10,0.601015,0.022909,0.216974,0.497983,0.31363,0.040419,0.06142,0.040765,0.043071,0.252009,0.2090195
MUT21,spec10,0.046123,0.131937,0.030007,0.054414,0.381152,0.049283,0.474212,0.115298,0.277454,0.206473,0.17663529999999997
MUT23,spec5,0.033392,0.039524,0.029983,0.038388,0.032783,0.035348,0.039369,0.043482,0.033379,0.04584,0.037148799999999996
MUT24,spec11,0.093894,0.121222,0.034349,0.169685,0.520623,0.022241,0.122124,0.083086,0.304781,0.275631,0.17476359999999996
MUT24,spec12,0.766615,1.830013,0.060128,0.473623,0.063397,0.151444,0.293008,0.891456,0.294807,1.202751,0.6027242
MUT30,spec12,,,,,,,,,,,1800.0
MUT33,spec11,0.289252,0.092423,0.276091,0.660824,0.046206,0.075206,0.281666,0.089386,0.617598,0.339883,0.2768535
MUT35,spec12,,,,,,,,,,,1800.0
MUT37,spec9,0.033245,0.023197,0.032726,0.048608,0.02531,0.034,0.023353,0.021953,0.02338,0.030353,0.029612500000000003
MUT38,spec9,0.032358,0.033452,0.033548,0.026197,0.030955,0.030111,0.02856,0.050836,0.03414,0.035303,0.033546
MUT40,spec2,49.439639,60.751912,47.409841,35.939675,16.688243,22.223719,20.982123,15.724236,87.983136,17.259961,37.440248499999996
MUT41,spec7,0.101071,0.07733,0.038248,0.12329,0.080155,0.047158,0.050126,0.063933,0.295607,0.050904,0.09278219999999998
MUT41,spec8,0.032949,0.018799,0.036921,0.044836,0.03825,0.022009,0.020965,0.033135,0.051581,0.036379,0.0335824
MUT47,spec8,0.02477,0.043231,0.023089,0.029516,0.036155,0.033445,0.052027,0.021785,0.028489,0.052229,0.03447359999999999
MUT50,spec7,0.095163,0.243736,0.126104,0.021616,0.017044,0.054867,0.059456,0.327805,0.09226,0.045094,0.10831449999999998
